method,approx_func,loss,a,b,iterations
brute_force_opt,linear_approx,93.20932929829986,0.7819999999996936,0.08699999999977015,16008001
brute_force_opt,rational_approx,94.75398659730563,0.2989999999997468,-0.6610000000001475,16008001
gauss_opt,linear_approx,93.20939242395981,0.7827796692117823,0.08764964151082083,601
gauss_opt,rational_approx,94.75567752311613,0.3033123398536286,-0.6533820502060975,521
nelder_mead_opt,linear_approx,93.20932484131758,0.7823544233618751,0.08712711769813038,129
nelder_mead_opt,rational_approx,94.75398614845214,0.29896341225319134,-0.6607786821639319,101
