n,const_f,sum_f,prod_f,direct_poly,horners_poly,sort.bubblesort.sort,sort.quicksort.sort,sort.timsort.sort,matrix_mult
48,3.2499999996771223e-07,1.3012499999964788e-05,1.2187500000010454e-05,7.962500000069372e-06,7.937499999999265e-06,0.00015261250000001003,6.946249999997822e-05,6.601249999999004e-05,1.1824999999965335e-05
49,3.833333333351045e-07,1.321428571422954e-05,1.2228571428574142e-05,8.262500000022488e-06,8.266666666608321e-06,0.00016103749999996086,7.314999999999405e-05,6.957500000001615e-05,1.3674999999990778e-05
50,3.1249999998816946e-07,1.3062499999993982e-05,1.2728571428517149e-05,8.571428571389563e-06,8.23749999995238e-06,0.0001638999999999946,7.276250000004536e-05,6.91625000000251e-05,1.3612500000009797e-05
51,3.000000000086267e-07,1.3271428571437482e-05,1.2887500000058338e-05,8.51249999994641e-06,8.400000000063911e-06,0.0001715250000000057,7.542499999999008e-05,7.215000000004856e-05,1.4962499999993106e-05
52,3.0000000017516015e-07,1.3500000000015483e-05,1.2462500000004484e-05,8.499999999994623e-06,8.50000000007789e-06,0.00017963750000002388,7.663750000005964e-05,7.572500000005422e-05,1.8937500000010266e-05
53,3.40000000109697e-07,1.3374999999982151e-05,1.2671428571436089e-05,9.149999999985559e-06,8.649999999980432e-06,0.00018902500000000932,7.815000000005456e-05,7.768749999997882e-05,1.5524999999988465e-05
54,3.000000000419334e-07,1.3249999999964679e-05,1.248750000001908e-05,8.914285714320006e-06,8.800000000031005e-06,0.00019305000000002792,8.111249999998016e-05,8.6937499999995e-05,1.8799999999985495e-05
55,3.666666667327216e-07,1.4100000000016877e-05,1.2537500000020518e-05,9.09999999998412e-06,8.825000000017846e-06,0.00020377499999996163,8.469999999999311e-05,8.815000000000905e-05,1.954285714287986e-05
56,3.1250000001592504e-07,1.5337499999990012e-05,1.555000000000306e-05,1.2974999999942893e-05,1.0249999999989434e-05,0.00023793749999995173,9.7337499999961e-05,9.429999999996386e-05,1.882500000000009e-05
57,4.0000000001150227e-07,1.5337500000017767e-05,1.4314285714300823e-05,1.0787499999970196e-05,1.028333333334223e-05,0.00024572500000002995,9.526249999997072e-05,9.713750000003851e-05,2.0362500000037365e-05
58,3.499999999823089e-07,1.5650000000005937e-05,1.4371428571381881e-05,1.098571428572091e-05,1.0499999999996623e-05,0.00025749999999999384,0.00010068749999997406,0.0001017374999999765,2.5712499999969163e-05
59,3.800000000442338e-07,1.4950000000013564e-05,1.365714285715493e-05,9.949999999980808e-06,9.625000000013095e-06,0.00023442499999998256,9.053750000001526e-05,8.945000000004644e-05,2.1187500000019455e-05
60,3.000000000363823e-07,1.338750000004496e-05,1.2628571428585644e-05,9.814285714337956e-06,9.537500000017518e-06,0.0002427250000000547,8.973750000002001e-05,9.291250000001416e-05,1.9862500000022987e-05
61,3.500000000933312e-07,1.3775000000049165e-05,1.252857142865414e-05,9.925000000049478e-06,9.675000000070044e-06,0.0002448874999999573,9.028750000003583e-05,9.419999999998874e-05,2.2924999999979212e-05
62,3.6000000007696543e-07,1.3683333333365985e-05,1.3049999999986683e-05,1.0071428571472346e-05,9.812499999983793e-06,0.0002508875000000188,9.313750000006227e-05,9.508750000000732e-05,2.3587500000032957e-05
63,3.3749999997501057e-07,1.4287499999987574e-05,1.2775000000048164e-05,1.1125000000056229e-05,1.0199999999987996e-05,0.0002638375000000026,9.337499999997889e-05,9.946250000003598e-05,2.3987499999961193e-05
64,3.124999999604139e-07,1.3700000000005375e-05,1.2900000000037881e-05,1.0362499999971853e-05,1.0025000000024598e-05,0.0002707625000000491,9.881250000001729e-05,9.738750000007346e-05,2.2014285714260546e-05
65,3.2857142860466736e-07,1.3500000000055135e-05,1.3142857142790985e-05,1.0799999999977494e-05,1.0325000000088735e-05,0.000281200000000037,9.776249999995934e-05,9.45374999999915e-05,4.5299999999970364e-05
66,4.3333333329028295e-07,1.3987500000034458e-05,1.3087499999980823e-05,1.0849999999978932e-05,1.05874999999922e-05,0.00030133750000002624,0.00011262500000003284,0.00011635000000001505,6.337500000003216e-05
67,5.500000000435712e-07,1.7587500000026957e-05,1.4887500000032583e-05,1.1712500000010673e-05,1.2049999999957928e-05,0.00031438749999998516,0.00010553750000003026,0.00010027500000006628,4.7312500000035174e-05
68,4.2500000002609895e-07,1.4328571428594878e-05,1.3528571428571873e-05,1.1400000000026469e-05,1.1387500000015205e-05,0.0003112499999999574,0.0001066125000000473,0.00010973750000001226,4.5499999999976115e-05
69,2.8750000002908394e-07,1.4337499999989012e-05,1.348571428575315e-05,1.163999999991283e-05,1.141249999997429e-05,0.00032220000000002247,0.00010551249999996015,0.00010224999999999818,5.2549999999984554e-05
70,3.250000001342457e-07,1.4275000000008031e-05,1.3014285714303092e-05,1.1424999999953833e-05,1.1325000000006469e-05,0.00032646249999998544,0.00010746250000001623,0.00010647499999996701,4.8574999999967394e-05
71,4.000000000855171e-07,1.4075000000030036e-05,1.3125000000058229e-05,1.1387499999959694e-05,1.1112500000021175e-05,0.00033196249999997707,0.00010804999999997067,0.00010722499999998858,6.838749999998894e-05
72,3.800000000442338e-07,1.4462499999978728e-05,1.3199999999903764e-05,1.168571428574897e-05,1.1325000000034224e-05,0.00036518749999994715,0.00012431250000002891,0.00013153750000000075,6.953750000002201e-05
73,4.199999999787707e-07,1.6685714285718284e-05,1.5071428571441661e-05,1.386666666665833e-05,1.3174999999948644e-05,0.0004024874999999928,0.0001299374999999825,0.000124937500000033,5.126249999995447e-05
74,3.250000000232234e-07,1.4475000000013782e-05,1.3600000000002499e-05,1.2325000000007469e-05,1.4787500000029707e-05,0.0003626000000000462,0.00011486250000000697,0.00011687499999998852,0.0001913250000000477
75,3.500000000933312e-07,1.4762500000070622e-05,1.3162499999996857e-05,1.1937500000003265e-05,1.7400000000000748e-05,0.0003729125000000444,0.0001201249999999987,0.00012123749999998212,5.427499999996477e-05
76,3.749999999969056e-07,1.4437499999991887e-05,1.3812499999960037e-05,1.2087500000035334e-05,1.2414285714301698e-05,0.00038503749999996284,0.0001195750000000384,0.00012332500000000746,4.76125000000438e-05
77,2.8750000000132836e-07,1.490000000000816e-05,1.3900000000011126e-05,1.2812500000042304e-05,1.231249999994466e-05,0.00039037499999994285,0.00011701250000004104,0.00011866250000000522,4.773750000000576e-05
78,4.0000000001150227e-07,1.4412500000032802e-05,1.3574999999932391e-05,1.2685714285793586e-05,1.2012499999963788e-05,0.00040583750000000585,0.00012081428571427846,0.0001257124999999859,4.809999999996761e-05
79,3.0000000017516015e-07,1.4250000000048946e-05,1.4400000000033433e-05,1.2812500000042304e-05,1.238333333342112e-05,0.0004257000000000011,0.0001295124999999564,0.00012140000000004925,4.7637500000002886e-05
80,3.200000001424286e-07,1.4562499999953848e-05,1.3814285714294375e-05,1.297500000002616e-05,1.246250000003224e-05,0.00042103749999999884,0.0001231500000000163,0.00012940000000000174,4.791428571422023e-05
81,3.250000000232234e-07,1.4524999999987465e-05,1.380000000000825e-05,1.3049999999986683e-05,1.255714285717881e-05,0.00043278571428574864,0.00012358749999993868,0.0001269875000000087,6.143750000001114e-05
82,3.125000000436806e-07,1.4812499999961037e-05,1.3862499999905964e-05,1.3187499999983698e-05,1.5474999999987027e-05,0.0004548624999999862,0.0001287625000000181,0.000135000000000024,5.79624999999806e-05
83,3.375000000305217e-07,1.5724999999994216e-05,1.3900000000058707e-05,1.3337500000071278e-05,1.5299999999968117e-05,0.00045840000000002545,0.00012821250000000228,0.0001331874999999927,4.959999999998299e-05
84,3.2499999996771223e-07,1.4657142857167824e-05,1.386249999998923e-05,1.3362500000030364e-05,1.280000000000725e-05,0.00046373750000000546,0.00012906249999999897,0.00013903749999996662,5.805000000000393e-05
85,3.1999999996479287e-07,1.4550000000057572e-05,1.382857142855671e-05,1.348750000002008e-05,1.2999999999985246e-05,0.0004768000000000272,0.00013013749999998825,0.00013435000000003305,5.5412500000018294e-05
86,4.0000000001150227e-07,1.4757142857194491e-05,1.4162500000025613e-05,1.3625000000017096e-05,1.3342857142844317e-05,0.0004936249999999975,0.0001339374999999865,0.000144800000000056,5.617499999996389e-05
87,3.249999999954678e-07,1.4700000000006375e-05,1.3912499999990668e-05,1.383750000000239e-05,1.3680000000038106e-05,0.0005422124999999722,0.00015392500000002696,0.0001611000000000251,0.0004659124999999986
88,3.249999999954678e-07,1.4757142857099329e-05,1.3950000000040319e-05,1.3750000000034568e-05,1.394999999989229e-05,0.0005458375000000071,0.00014451249999994364,0.00015219999999999123,5.548749999997882e-05
89,3.1428571434233277e-07,1.5187499999930187e-05,1.3849999999981932e-05,1.3957142857108045e-05,1.6762499999989355e-05,0.0005268250000000085,0.00013806250000000797,0.00014212500000007622,5.8162500000014106e-05
90,4.0000000001150227e-07,1.5112499999941909e-05,1.3950000000040319e-05,1.4262499999945222e-05,1.3587500000050712e-05,0.0005630125000000707,0.00013799999999994372,0.00015304999999998792,6.99875000000072e-05
91,3.37499999947255e-07,1.4899999999965866e-05,1.4074999999946769e-05,1.4824999999996091e-05,1.3700000000005375e-05,0.0005432374999999323,0.00013972499999997945,0.00014812499999999895,6.744999999999668e-05
92,3.66666666769729e-07,1.5200000000020752e-05,1.4374999999983151e-05,1.5257142857169218e-05,1.3971428571433822e-05,0.0005618499999999471,0.0001441124999999599,0.00016422499999993456,6.686250000004224e-05
93,3.2857142860466736e-07,1.5462499999951973e-05,1.45874999999962e-05,1.4724999999993216e-05,1.4187500000012454e-05,0.0005685374999999659,0.00014794999999998004,0.00015731249999997865,6.397500000002165e-05
94,3.800000000442338e-07,1.5087500000038334e-05,1.411428571424749e-05,1.4914285714302216e-05,1.4337499999989012e-05,0.000619950000000008,0.00015231250000002916,0.00016141250000001328,5.7450000000014434e-05
95,3.500000000933312e-07,1.5228571428581108e-05,1.4557142857141159e-05,1.4974999999972649e-05,1.4428571428589823e-05,0.0006036124999999615,0.0001565750000000754,0.00016686250000000347,5.728750000000282e-05
96,2.857142857542223e-07,1.4985714285740772e-05,1.4312500000029926e-05,1.5074999999975525e-05,1.5025000000001842e-05,0.0006157749999999851,0.00015058749999993792,0.00016450000000006737,5.861249999999929e-05
97,3.2499999996771223e-07,1.5425000000013345e-05,1.452500000001522e-05,1.554285714289172e-05,1.4600000000003499e-05,0.0006257749999999951,0.00015552857142859495,0.0001665124999999934,5.452857142859305e-05
98,2.8571428569078095e-07,1.525000000002219e-05,1.460000000005901e-05,1.5412500000006046e-05,1.4700000000061886e-05,0.0006258749999999147,0.00015214999999996204,0.00017878749999999943,6.147499999997752e-05
99,3.8000000008864275e-07,1.5200000000020752e-05,1.4637499999969883e-05,1.5550000000030817e-05,1.5157142857142552e-05,0.000639349999999983,0.0001522874999999868,0.00016712500000001795,6.71750000000304e-05
100,3.40000000109697e-07,1.5312500000030926e-05,1.4575000000072169e-05,1.5887500000033583e-05,1.5087500000010579e-05,0.000656150000000022,0.00015521249999997377,0.00017679999999992146,6.707499999997202e-05
101,6.200000000067263e-07,2.3500000000009624e-05,1.48375000000589e-05,1.5887500000005828e-05,1.531428571431372e-05,0.0006717624999999505,0.0001647750000000059,0.0001724874999999293,5.701250000000879e-05
102,3.250000000232234e-07,1.545000000002794e-05,1.4762500000042866e-05,1.6100000000106108e-05,1.5387499999908183e-05,0.0006803000000000226,0.00015719999999996848,0.00017935000000007806,6.192499999990719e-05
103,4.1428571443244013e-07,1.5657142857149e-05,1.5137500000095283e-05,1.6224999999980838e-05,1.4128571428541545e-05,0.0006939750000001244,0.0001607000000000136,0.0001759500000000358,7.034999999994129e-05
104,4.0000000012252457e-07,1.5257142857105777e-05,1.4525000000098487e-05,1.6012500000051055e-05,1.3662500000011235e-05,0.0007025999999999422,0.00016343749999997437,0.00018193750000000675,6.306250000004399e-05
105,3.833333334461268e-07,1.5312499999919904e-05,1.5042857142980434e-05,1.6250000000050946e-05,1.3616666666734408e-05,0.000735774999999883,0.0001658999999999966,0.00037863750000011187,6.323749999997963e-05
106,3.500000003153758e-07,1.5512499999925655e-05,1.4574999999961147e-05,1.646249999998073e-05,1.3562499999841826e-05,0.0007304624999999731,0.00016356250000010286,0.00018776249999996608,6.336250000005261e-05
107,3.250000000232234e-07,1.541249999986727e-05,1.4824999999996091e-05,1.6487500000050836e-05,1.408571428562766e-05,0.0007630125000000487,0.00016961250000002703,0.00018918750000007645,7.07249999999382e-05
108,3.1250000009919177e-07,1.5349999999969555e-05,1.4799999999981495e-05,1.6687500000056588e-05,1.3874999999996529e-05,0.0008398249999999052,0.00019071249999996764,0.00022317499999996437,6.535000000001956e-05
109,3.7500000005241674e-07,1.5337500000045523e-05,1.5012499999966789e-05,1.7849999999985933e-05,1.4575000000016658e-05,0.0007893499999999665,0.00017064999999999442,0.00020404999999995566,8.339999999990022e-05
110,3.6249999985082937e-07,1.728749999996282e-05,1.607499999994877e-05,1.8912500000078936e-05,1.6149999999937048e-05,0.0009130125000000322,0.00019798749999994092,0.00022761250000008504,7.174285714300106e-05
111,4.5000000015171793e-07,1.5787500000030708e-05,1.4950000000013564e-05,1.724999999996868e-05,1.7014285714291232e-05,0.0008093125000001034,0.000180674999999908,0.00019482500000000957,6.773750000005352e-05
112,4.0000000001150227e-07,1.5662499999957724e-05,1.5037500000036896e-05,1.7314285714180905e-05,1.4287500000043085e-05,0.0008357249999998428,0.00017476250000003635,0.0002056624999999812,0.0003712124999999955
113,5.00000000069889e-07,1.682499999999809e-05,1.5099999999990121e-05,1.7512499999983167e-05,1.4271428571355216e-05,0.0009325250000000174,0.0002001625000000451,0.00022694999999989252,7.934999999997805e-05
114,4.0000000001150227e-07,1.7874999999945018e-05,1.7428571428533347e-05,2.007499999995277e-05,1.6712500000015673e-05,0.0009353874999999401,0.00017942500000001083,0.00020983750000008738,6.807499999994526e-05
115,3.6666666680673643e-07,1.9062500000055493e-05,1.5474999999987027e-05,1.7937500000064777e-05,1.4657142857136104e-05,0.0008838250000000047,0.00017994999999992878,0.00020300000000006424,6.873749999997125e-05
116,3.249999999122011e-07,1.5749999999981057e-05,1.5471428571548324e-05,1.812499999992445e-05,1.4742857142773553e-05,0.0009760999999999243,0.00020969999999997935,0.0002329625000000446,7.531250000003542e-05
117,3.500000000933312e-07,1.6437499999966132e-05,1.5437499999937376e-05,1.858571428568569e-05,1.5020000000021127e-05,0.0009045249999999894,0.0001815500000000303,0.00020962500000004658,9.473749999994174e-05
118,3.2857142860466736e-07,1.595000000004232e-05,1.5960000000081464e-05,1.8371428571370023e-05,1.513749999998426e-05,0.0009305499999999189,0.00018612500000009247,0.00022071249999999765,7.066249999998497e-05
119,3.428571428035606e-07,1.6112499999887397e-05,1.5457142857159107e-05,1.8300000000026628e-05,1.505000000007195e-05,0.0010258000000000767,0.00021567499999991524,0.0002374749999999315,7.448750000010884e-05
120,4.0000000001150227e-07,1.6271428571444447e-05,1.580000000002611e-05,1.8499999999921357e-05,1.5242857142843441e-05,0.0010753000000000013,0.00022059999999995972,0.00024927499999999325,7.436250000014688e-05
121,4.1666666665089264e-07,1.5925000000027723e-05,1.5274999999925765e-05,1.8525000000046976e-05,1.5300000000106895e-05,0.0009711749999999908,0.00019306250000000746,0.00021784999999985288,7.768571428571189e-05
122,3.375000000582773e-07,1.602500000008611e-05,1.580000000001025e-05,1.8612499999959287e-05,1.5416666666675145e-05,0.0012293499999999624,0.00019119999999983595,0.00022938750000001118,7.612499999992695e-05
123,3.000000000086267e-07,1.6312499999837637e-05,1.5674999999992778e-05,1.9162500000002858e-05,1.548749999996657e-05,0.000986937500000007,0.00019353750000006276,0.00022427500000010703,0.0001242571428570522
124,3.2499999996771223e-07,1.627500000001003e-05,1.5650000000089204e-05,1.893750000003802e-05,1.576250000001611e-05,0.0010417624999999875,0.00019648749999989779,0.0002495250000000282,7.136250000006061e-05
125,4.599999999577165e-07,1.7183333333411117e-05,1.571428571419834e-05,1.9100000000049633e-05,1.5674999999992778e-05,0.0010903374999999826,0.00022666249999997445,0.00023917499999998038,7.375000000003906e-05
126,3.125000000436806e-07,1.6224999999980838e-05,1.5737500000057025e-05,1.9437499999830354e-05,1.6371428571344232e-05,0.0011798499999999823,0.00020458749999996417,0.0002390999999999921,7.282499999999859e-05
127,2.7142857142844636e-07,1.6533333333438687e-05,1.5728571428587556e-05,1.95249999999092e-05,1.6049999999989684e-05,0.00107096250000005,0.0002072624999999717,0.00026456249999989856,9.256250000011512e-05
128,4.0000000001150227e-07,1.713749999993075e-05,1.6362500000088875e-05,1.9975000000060916e-05,1.6375000000012907e-05,0.001088675000000039,0.00020281250000003803,0.00023129999999998985,6.762500000012661e-05
129,3.3750000000276614e-07,1.650000000003038e-05,1.6087500000039334e-05,1.979999999990323e-05,1.6100000000074388e-05,0.0010973750000000115,0.00020277499999998838,0.00022164999999996216,7.35749999999924e-05
130,3.1250000009919177e-07,1.6712500000071184e-05,1.611250000005393e-05,2.0537499999973008e-05,1.6362499999922342e-05,0.0011179374999999436,0.00020815000000007355,0.00022946249999999946,7.089999999992935e-05
131,3.2500000007873453e-07,1.6725000000050727e-05,1.602500000008611e-05,2.0087500000043335e-05,1.641428571425812e-05,0.0011210749999999159,0.00021054999999997603,0.0002296124999999205,7.819999999997274e-05
132,3.1428571427889143e-07,1.71749999999804e-05,1.6916666666588753e-05,2.054999999989704e-05,1.709999999999212e-05,0.0011930249999999587,0.00021023750000004338,0.00024108749999995904,8.357500000016893e-05
133,3.999999999374874e-07,1.6957142857178453e-05,1.655000000000406e-05,2.0314285714283032e-05,1.6987500000009703e-05,0.00115272499999991,0.0002141125000000299,0.00023177500000004514,8.415000000006057e-05
