optimizer,func,min,func_min,iterations
brute_force,x_3,0.0,0.0,1000
brute_force,module_x,0.2,0.0,1000
brute_force,sin,0.22300000000000011,-0.21722461258083448,900
dichotomy,x_3,0.0014820556640625002,3.25531895072527e-09,22
dichotomy,module_x,0.20108923339843746,0.0010892333984374447,22
dichotomy,sin,0.22350891113281246,-0.2171929916274012,22
golden_section,x_3,0.001099706153786106,1.329933623158664e-09,17
golden_section,module_x,0.2008064511794431,0.0008064511794430851,17
golden_section,sin,0.22325296818053675,-0.21721172503776615,17
